Category: All categories

Week,Vegan: (Worldwide)
2014-06-01,31
2014-06-08,32
2014-06-15,31
2014-06-22,32
2014-06-29,33
2014-07-06,33
2014-07-13,33
2014-07-20,34
2014-07-27,35
2014-08-03,34
2014-08-10,34
2014-08-17,33
2014-08-24,32
2014-08-31,33
2014-09-07,32
2014-09-14,32
2014-09-21,32
2014-09-28,33
2014-10-05,33
2014-10-12,33
2014-10-19,33
2014-10-26,33
2014-11-02,33
2014-11-09,35
2014-11-16,35
2014-11-23,37
2014-11-30,34
2014-12-07,33
2014-12-14,35
2014-12-21,38
2014-12-28,39
2015-01-04,38
2015-01-11,36
2015-01-18,36
2015-01-25,36
2015-02-01,37
2015-02-08,36
2015-02-15,38
2015-02-22,38
2015-03-01,37
2015-03-08,36
2015-03-15,36
2015-03-22,36
2015-03-29,40
2015-04-05,37
2015-04-12,35
2015-04-19,35
2015-04-26,37
2015-05-03,37
2015-05-10,37
2015-05-17,36
2015-05-24,37
2015-05-31,37
2015-06-07,41
2015-06-14,39
2015-06-21,39
2015-06-28,38
2015-07-05,38
2015-07-12,39
2015-07-19,39
2015-07-26,41
2015-08-02,40
2015-08-09,41
2015-08-16,40
2015-08-23,40
2015-08-30,39
2015-09-06,41
2015-09-13,40
2015-09-20,42
2015-09-27,42
2015-10-04,43
2015-10-11,43
2015-10-18,43
2015-10-25,45
2015-11-01,47
2015-11-08,45
2015-11-15,45
2015-11-22,49
2015-11-29,43
2015-12-06,46
2015-12-13,49
2015-12-20,54
2015-12-27,54
2016-01-03,52
2016-01-10,50
2016-01-17,50
2016-01-24,50
2016-01-31,52
2016-02-07,54
2016-02-14,53
2016-02-21,52
2016-02-28,53
2016-03-06,54
2016-03-13,53
2016-03-20,58
2016-03-27,54
2016-04-03,55
2016-04-10,54
2016-04-17,56
2016-04-24,56
2016-05-01,56
2016-05-08,54
2016-05-15,57
2016-05-22,60
2016-05-29,57
2016-06-05,58
2016-06-12,55
2016-06-19,55
2016-06-26,54
2016-07-03,55
2016-07-10,53
2016-07-17,53
2016-07-24,54
2016-07-31,55
2016-08-07,54
2016-08-14,52
2016-08-21,53
2016-08-28,53
2016-09-04,53
2016-09-11,52
2016-09-18,52
2016-09-25,53
2016-10-02,53
2016-10-09,53
2016-10-16,53
2016-10-23,59
2016-10-30,65
2016-11-06,60
2016-11-13,65
2016-11-20,70
2016-11-27,66
2016-12-04,64
2016-12-11,64
2016-12-18,76
2016-12-25,100
2017-01-01,67
2017-01-08,60
2017-01-15,60
2017-01-22,58
2017-01-29,58
2017-02-05,58
2017-02-12,59
2017-02-19,59
2017-02-26,62
2017-03-05,60
2017-03-12,58
2017-03-19,60
2017-03-26,62
2017-04-02,61
2017-04-09,63
2017-04-16,57
2017-04-23,57
2017-04-30,58
2017-05-07,58
2017-05-14,56
2017-05-21,57
2017-05-28,58
2017-06-04,57
2017-06-11,57
2017-06-18,62
2017-06-25,70
2017-07-02,75
2017-07-09,83
2017-07-16,85
2017-07-23,89
2017-07-30,90
2017-08-06,91
2017-08-13,85
2017-08-20,82
2017-08-27,81
2017-09-03,80
2017-09-10,76
2017-09-17,76
2017-09-24,75
2017-10-01,78
2017-10-08,79
2017-10-15,77
2017-10-22,76
2017-10-29,78
2017-11-05,77
2017-11-12,81
2017-11-19,86
2017-11-26,75
2017-12-03,76
2017-12-10,78
2017-12-17,90
2017-12-24,86
2017-12-31,98
2018-01-07,91
2018-01-14,88
2018-01-21,85
2018-01-28,86
2018-02-04,83
2018-02-11,86
2018-02-18,82
2018-02-25,80
2018-03-04,81
2018-03-11,78
2018-03-18,81
2018-03-25,88
2018-04-01,82
2018-04-08,77
2018-04-15,77
2018-04-22,81
2018-04-29,81
2018-05-06,76
2018-05-13,73
2018-05-20,73
2018-05-27,75
2018-06-03,74
2018-06-10,76
2018-06-17,72
2018-06-24,73
2018-07-01,73
2018-07-08,76
2018-07-15,78
2018-07-22,76
2018-07-29,77
2018-08-05,77
2018-08-12,78
2018-08-19,75
2018-08-26,74
2018-09-02,74
2018-09-09,71
2018-09-16,73
2018-09-23,72
2018-09-30,74
2018-10-07,80
2018-10-14,77
2018-10-21,74
2018-10-28,79
2018-11-04,79
2018-11-11,78
2018-11-18,87
2018-11-25,76
2018-12-02,77
2018-12-09,78
2018-12-16,87
2018-12-23,87
2018-12-30,100
2019-01-06,90
2019-01-13,87
2019-01-20,84
2019-01-27,82
2019-02-03,81
2019-02-10,80
2019-02-17,80
2019-02-24,76
2019-03-03,79
2019-03-10,78
2019-03-17,80
2019-03-24,80
2019-03-31,78
2019-04-07,84
2019-04-14,85
2019-04-21,78
2019-04-28,79
2019-05-05,77
2019-05-12,75
2019-05-19,74
2019-05-26,77
